Initial Optimized Composition,Rounded Optimized Composition,Rounded Optimized Tc,Initial Optimized Tc,Rounded Optimized Ef,Initial Optimized Ef,structure_atom_count
C_{41.37611} Mg_{6.774453} K_{36.04924} Cu_{70.03299} Ba_{27.88167} Ho_{4.771197} Pt_{7.114331} ,C_{41.0} Mg_{7.0} K_{36.0} Cu_{70.0} Ba_{28.0} Ho_{5.0} Pt_{7.0} ,85.732185,85.5278,-0.9064577,-0.90358996,194.0
B_{6.001692} Cl_{16.08630} Ca_{16.00280} Ga_{15.95350} Ba_{17.97878} La_{7.014084} Pt_{25.9557} Tl_{10.00714} ,B_{6.0} Cl_{16.0} Ca_{16.0} Ga_{16.0} Ba_{18.0} La_{7.0} Pt_{26.0} Tl_{10.0} ,85.20766,85.316284,-0.7764174,-0.7739622,115.0
B_{37.04401} Ca_{31.04398} Cu_{50.95433} La_{32.03138} Tb_{5.91628} Er_{5.98906} Pt_{22.02095} ,B_{37.0} Ca_{31.0} Cu_{51.0} La_{32.0} Tb_{6.0} Er_{6.0} Pt_{22.0} ,85.11675,85.20911,-0.5304002,-0.53002965,185.0
O_{21.95238} Cu_{62.80142} Rb_{54.91674} Sr_{22.03077} La_{18.20185} Yb_{14.09681} ,O_{22.0} Cu_{63.0} Rb_{55.0} Sr_{22.0} La_{18.0} Yb_{14.0} ,85.271355,84.90264,-1.0976979,-1.0955572,194.0
F_{40.01835} K_{18.03156} Ca_{23.98396} Ba_{24.95068} Ir_{21.96137} Pt_{37.03074} Tl_{14.06617} Bi_{14.95714} ,F_{40.0} K_{18.0} Ca_{24.0} Ba_{25.0} Ir_{22.0} Pt_{37.0} Tl_{14.0} Bi_{15.0} ,84.75255,84.8126,0.22671317,0.22655503,195.0
C_{19.15901} Cu_{73.87462} Y_{21.85154} Ba_{58.26115} W_{8.794028} Pt_{8.059652} ,C_{19.0} Cu_{74.0} Y_{22.0} Ba_{58.0} W_{9.0} Pt_{8.0} ,84.85948,84.751236,-0.84643716,-0.8500947,190.0
Li_{10.72274} B_{36.14970} Ca_{48.10128} Cu_{45.13414} La_{18.91204} Nd_{6.026052} Pt_{29.95401} ,Li_{11.0} B_{36.0} Ca_{48.0} Cu_{45.0} La_{19.0} Nd_{6.0} Pt_{30.0} ,84.385025,84.53265,-0.3176436,-0.3191374,195.0
B_{28.99812} C_{4.998928} O_{16.99636} Ca_{29.00696} Cu_{39.01225} La_{26.98944} Pt_{12.99793} ,B_{29.0} C_{5.0} O_{17.0} Ca_{29.0} Cu_{39.0} La_{27.0} Pt_{13.0} ,84.46624,84.47121,-1.2146671,-1.2142867,159.0
C_{24.98209} Mg_{32.98742} Cu_{74.05855} Rb_{46.05068} Tc_{4.917047} Er_{14.00419} ,C_{25.0} Mg_{33.0} Cu_{74.0} Rb_{46.0} Tc_{5.0} Er_{14.0} ,84.24788,84.25997,-0.68924683,-0.688955,197.0
B_{28.03239} O_{28.98245} Ca_{38.88791} Cu_{45.06295} La_{22.97374} Tb_{6.062362} Pt_{10.99818} ,B_{28.0} O_{29.0} Ca_{39.0} Cu_{45.0} La_{23.0} Tb_{6.0} Pt_{11.0} ,83.77447,83.9042,-1.4408921,-1.4406863,181.0
B_{62.94784} Si_{15.89261} Ca_{19.96729} Sr_{27.94732} Ba_{8.138768} Pt_{46.10618} ,B_{63.0} Si_{16.0} Ca_{20.0} Sr_{28.0} Ba_{8.0} Pt_{46.0} ,83.76994,83.87644,-0.20225774,-0.20192185,181.0
C_{48.98345} Cu_{39.27952} Ba_{28.94104} La_{1.130791} Pt_{19.70270} Tl_{9.962486} ,C_{49.0} Cu_{39.0} Ba_{29.0} La_{1.0} Pt_{20.0} Tl_{10.0} ,84.7488,83.856766,-0.97203654,-0.9724105,148.0
B_{4.01784} C_{4.025066} Cu_{16.98328} Ba_{8.966371} Au_{5.007442} ,B_{4.0} C_{4.0} Cu_{17.0} Ba_{9.0} Au_{5.0} ,83.99358,83.7201,-0.49861056,-0.49866074,39.0
C_{38.99407} Cu_{43.99909} Rb_{23.01124} Sr_{30.04689} La_{2.005134} Pb_{8.943557} ,C_{39.0} Cu_{44.0} Rb_{23.0} Sr_{30.0} La_{2.0} Pb_{9.0} ,83.148605,83.19724,-0.9812858,-0.98087543,147.0
B_{18.0697} C_{8.050563} Ca_{26.02747} Ga_{8.952682} Xe_{50.94622} Ba_{23.02213} Pm_{3.988237} Pt_{40.94299} ,B_{18.0} C_{8.0} Ca_{26.0} Ga_{9.0} Xe_{51.0} Ba_{23.0} Pm_{4.0} Pt_{41.0} ,83.09029,83.153206,-0.5749747,-0.57585186,180.0
